string_value,Category
quick response and resolution of my issue,Others
Very quick response time and immediate fix. :) Thank you.,Others
Great service,Others
"Orsy was patient, and informative with how to let the system work again. :)",Others
The rep was quick and efficient. Thank you,Others
He fixed my problem and was very kind and patient with me.,Others
HC Support & IT were Awesome! Called the HC Support- K was great! She quickly created a ticket for IT / B from IT remoted/ rebooted display board as part of the HC Update. ( I was not able to access pc or replace with wireless to reboot),Others
Service pleasing,Others
"The service was friendly, efficient, and solved my problem.",Others
very helpful and quick resolution,Others
"Awesome service! Very friendly, thank you so much, Don! You have helped me before and I always appreciate it.",Others
timeliness of fix and kind personality,Others
The problem with the APP was fixed,Others
J was very helpful and courteous,Others
prompt and helpful,Others
"Ab was incredible!  I wasn't sure I would be able to get the help I needed on a Saturday morning, but she picked up my call right away and was very knowledgeable. Thank you!!!!",Others
Ron was super helpful. Thank you!,Others
He was very helpful and very knowledgeable.,Others
I was sent the incorrect response to which I responded with the correct resolution . I then received the same incorrect response from another Application Coordinator.,Others
EXCELLENT SERVICES,Others
The second question doesn't seem appropriate- the likelihood of recommending IT is very likely when faced with issues they can only resolve. My issue was detected after my second call to IT with a different technician who took time to research the core issue ,Others
"Rob has great customer service! Was patient when I had other calls coming in, he assured me he would be working on my request while I had him on hold. He was very polite and I could tell he is great at multi tasking, because he could hold a conversation while working on my request.",Others
"Assistance first thing this morning, friendly, efficient, very knowledgeable. Solution was made expeditiously",Others
"Very friendly , detailed explanations, and quickly resolved my IT issue",Others
San from the Service Desk was so helpful and friendly. Explained everything and made sure I was up and running before the call ended.,Others
"I am trying to log on to Mainframe, new access request had to be sent.  needs an easier and more accessible system to check time punches. The IT guy was nice. I just didn't get my issue resolved because the system is dumb.",Others
service,Others
"my ID rep was kind, calm, and walked me through getting Global Connect up and running for me",Others
calm personality and quick recovery of password.,Others
Very efficient handling of my concern.  I have also learned how to better troubleshoot prior to calling helpdesk.,Others
